,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nikolskoye,59.7035,30.7861,287.09,71,67,1.07,RU,1628041600
1,Mataura,-46.1927,168.8643,275.08,91,100,1.34,NZ,1628107190
2,Puerto Ayora,-0.7393,-90.3518,301.13,75,17,3.13,EC,1628078693
3,São João da Barra,-21.6403,-41.0511,297.2,65,7,6.77,BR,1628068478
4,Meulaboh,4.1363,96.1285,297.63,87,100,1.77,ID,1628119976
5,Cape Town,-33.9258,18.4232,288.64,88,20,1.79,ZA,1628055370
6,Gigmoto,13.7796,124.39,301.07,82,97,6.34,PH,1628112459
7,Saint Paul Harbor,57.79,-152.4072,286.88,77,20,2.06,US,1628086285
8,Woodward,36.4337,-99.3904,304.78,37,1,2.06,US,1628077597
9,Avarua,-21.2078,-159.775,297.18,60,47,3.09,CK,1628096925
10,Calabozo,8.9242,-67.4293,299.96,80,51,2.6,VE,1628072468
11,Hyderabad,17.3753,78.4744,298.88,64,40,3.09,IN,1628123191
12,Saint-Philippe,-21.3585,55.7679,291.92,76,97,6.96,RE,1628045226
13,Kavieng,-2.5744,150.7967,300.47,76,24,1.62,PG,1628107350
14,Saskylakh,71.9167,114.0833,283.0,52,99,3.13,RU,1628096945
15,Leer,8.3018,30.1418,295.29,95,100,1.42,SS,1628049097
16,Ushuaia,-54.8,-68.3,285.96,44,75,7.2,AR,1628079375
17,Jamestown,42.097,-79.2353,299.77,49,40,1.34,US,1628072006
18,Castro,-24.7911,-50.0119,287.92,63,89,3.28,BR,1628070901
19,Garoowe,8.4054,48.4845,302.63,40,30,10.8,SO,1628044687
20,Deer Lake,49.1667,-57.4316,293.07,52,40,5.66,CA,1628065585
21,Saint-Augustin,51.226,-58.6502,295.13,45,13,6.14,CA,1628065457
22,Menongue,-14.6585,17.691,288.05,31,0,1.84,AO,1628053816
23,Alenquer,-1.9417,-54.7383,304.34,41,4,1.57,BR,1628070235
24,Hermanus,-34.4187,19.2345,286.93,92,36,2.55,ZA,1628055228
25,Río Gallegos,-51.6226,-69.2181,291.18,20,0,8.75,AR,1628078911
26,Alta Floresta,-9.8756,-56.0861,309.05,24,0,3.09,BR,1628071151
27,Omboué,-1.5746,9.2618,297.34,84,6,4.31,GA,1628054849
28,Yellowknife,62.456,-114.3525,287.77,54,90,2.06,CA,1628075364
29,Rikitea,-23.1203,-134.9692,295.5,70,13,7.39,PF,1628091136
30,Lárdos,36.0942,28.0157,309.05,42,0,5.46,GR,1628047043
31,Moss Point,30.4116,-88.5345,305.57,63,75,4.12,US,1628075665
32,Upernavik,72.7868,-56.1549,280.74,75,8,1.93,GL,0
33,Paragominas,-2.9667,-47.4833,305.42,39,100,0.67,BR,1628068570
34,Atuona,-9.8,-139.0333,298.67,67,96,4.91,PF,1628091048
35,Severo-Kuril'sk,50.6789,156.125,284.9,77,99,5.7,RU,1628100463
36,Ponta do Sol,32.6667,-17.1,297.99,72,36,0.56,PT,1628058271
37,Punta Arenas,-53.15,-70.9167,287.21,51,0,9.26,CL,1628079633
38,Aklavik,68.2191,-135.0107,291.55,52,20,3.6,CA,1628076580
39,Thinadhoo,0.5333,72.9333,300.49,77,97,1.41,MV,1628125808
40,Lavrentiya,65.5833,-171.0,288.24,70,16,5.8,RU,1628173912
41,Warri,5.5167,5.75,297.71,89,100,1.87,NG,1628055163
42,Kargasok,59.0556,80.8572,287.46,87,88,2.91,RU,1628116332
43,Tall Kayf,37.0833,41.0667,307.4,16,8,0.95,TR,1628043788
44,Riyadh,24.6877,46.7219,308.23,9,7,3.8,SA,1628043753
45,Bredasdorp,-34.5322,20.0403,286.77,88,19,1.03,ZA,1628055047
46,Chumikan,54.7183,135.315,284.32,95,100,3.57,RU,1628104530
47,Maneromango,-7.1988,38.7848,293.01,85,61,1.67,TZ,1628048184
48,Nioro,13.35,-15.75,299.33,87,100,3.8,GM,1628059719
49,Noumea,-22.2763,166.4572,292.59,99,38,2.79,NC,1628105116
50,Bikaner,28.0167,73.3,304.94,56,61,3.27,IN,1628123485
51,Champasak,14.75,106.0,296.35,99,100,0.6,LA,1628116796
52,Port Alfred,-33.5906,26.891,290.02,88,73,1.98,ZA,1628053303
53,Saldanha,-33.0117,17.9442,285.18,91,0,3.9,ZA,1628055388
54,Te Anau,-45.4167,167.7167,275.68,91,100,0.73,NZ,1628107347
55,New Norfolk,-42.7826,147.0587,281.99,72,100,0.45,AU,1628111923
56,Nhulunbuy,-12.2333,136.7667,297.49,60,38,6.69,AU,1628111436
57,Vaini,-21.2,-175.2,288.24,94,20,1.54,TO,1628186992
58,Torbay,47.6666,-52.7314,296.08,62,75,13.38,CA,1628064737
59,Tiksi,71.6872,128.8694,278.55,84,0,2.96,RU,1628094250
60,Port Elizabeth,-33.918,25.5701,289.32,88,75,2.06,ZA,1628053655
61,Umba,66.6871,34.3429,282.49,82,100,7.95,RU,1628037111
62,Vila Velha,-20.3297,-40.2925,298.13,63,40,7.72,BR,1628068186
63,Hilo,19.7297,-155.09,298.59,84,90,3.09,US,1628092643
64,Bonthe,7.5264,-12.505,298.85,82,93,3.7,SL,1628059392
65,San Patricio,28.017,-97.5169,307.55,58,100,3.25,US,1628078064
66,Butaritari,3.0707,172.7902,301.08,66,96,3.94,KI,1628101657
67,Praia,14.9215,-23.5087,300.45,83,75,2.57,CV,1628061455
68,Otaru,43.1894,141.0022,297.13,89,100,2.19,JP,1628105412
69,Hobart,-42.8794,147.3294,282.18,72,40,0.45,AU,1628111871
70,Fayaoué,-20.65,166.5333,294.87,70,55,2.71,NC,1628104961
71,Albany,42.6001,-73.9662,299.71,55,100,1.57,US,1628070667
72,Rosetta,31.4044,30.4164,303.05,63,0,3.19,EG,1628046999
73,Yong’an,39.6957,113.6871,291.04,67,26,1.04,CN,1628112466
74,Puerto Escondido,15.85,-97.0667,302.61,70,40,4.12,MX,1628079037
75,Portland,45.5234,-122.6762,305.87,50,1,1.79,US,1628081909
76,Yerbogachën,61.2767,108.0108,287.54,79,90,2.37,RU,1628108971
77,Karratha,-20.7377,116.8463,293.44,25,5,9.48,AU,1628116889
78,Zhangye,38.9342,100.4517,294.5,24,3,2.28,CN,1628115744
79,Bilma,18.6853,12.9164,309.16,26,6,4.63,NE,1628052401
80,Pellérd,46.0344,18.154,297.62,60,0,2.57,HU,1628047996
81,Omsukchan,62.5333,155.8,274.2,98,100,2.2,RU,1628096934
82,Bambous Virieux,-20.3428,57.7575,294.29,68,75,7.2,MU,1628044663
83,Conde,-7.2597,-34.9075,296.85,88,75,5.14,BR,1628065872
84,Srednekolymsk,67.45,153.6833,276.62,93,100,3.46,RU,1628094434
85,Barrow,71.2906,-156.7887,284.16,82,1,2.57,US,1628077383
86,Kaitangata,-46.2817,169.8464,281.44,63,100,4.73,NZ,1628106969
87,Mandalgovi,45.7625,106.2708,285.85,70,0,3.95,MN,1628113349
88,Bundaberg,-24.85,152.35,284.38,60,0,2.68,AU,1628108722
89,Talcahuano,-36.7167,-73.1167,284.97,87,90,7.31,CL,1628077634
90,Kapaa,22.0752,-159.319,301.33,76,75,1.79,US,1628093455
91,Ancud,-41.8697,-73.8203,289.39,80,100,3.28,CL,1628078438
92,Half Moon Bay,37.4636,-122.4286,301.8,67,20,3.6,US,1628083003
93,Belaya Gora,68.5333,146.4167,278.69,76,100,4.95,RU,1628095197
94,Hong Kong,22.2855,114.1577,301.18,93,100,0.45,HK,1628114207
95,Bluff,-46.6,168.3333,275.26,76,100,2.57,NZ,1628107381
96,Qaanaaq,77.484,-69.3632,280.5,68,12,1.22,GL,0
97,Chokurdakh,70.6333,147.9167,278.68,72,88,6.08,RU,1628092104
98,Krasne,49.9145,24.6134,289.79,89,81,1.66,UA,1628045726
99,Ransang,8.9603,117.5828,300.36,81,39,4.16,PH,1628114466
100,Nantucket,41.2835,-70.0995,293.13,89,100,1.38,US,1628069928
101,Lokosovo,61.1333,74.8167,288.46,92,97,1.76,RU,1628117011
102,Klaksvík,62.2266,-6.589,285.66,95,94,3.15,FO,1628049556
103,Terney,45.0503,136.6092,294.21,91,100,2.86,RU,1628106178
104,Kieta,-6.2167,155.6333,298.59,85,25,2.6,PG,1628106458
105,Port Lincoln,-34.7333,135.8667,284.45,85,6,4.05,AU,1628113634
106,George Town,5.4112,100.3354,300.87,87,20,0.45,MY,1628118872
107,Hamilton,39.1834,-84.5333,301.77,46,75,0.45,US,1628073682
108,Lithgow,-33.4833,150.15,278.97,85,99,6.17,AU,1628110075
109,São Filipe,14.8961,-24.4956,298.47,88,100,1.81,CV,1628061694
110,Bengkulu,-3.8004,102.2655,297.39,90,100,2.51,ID,1628119087
111,Kahului,20.8947,-156.47,300.84,71,20,7.72,US,1628092874
112,Marabu,4.4148,114.0089,299.23,89,20,1.03,MY,1628115664
113,Zalesovo,53.9939,84.7431,286.77,95,6,0.21,RU,1628116865
114,Talnakh,69.4865,88.3972,291.64,63,9,1.49,RU,1628108122
115,Busselton,-33.65,115.3333,282.64,89,1,2.47,AU,1628118444
116,Lebu,-37.6167,-73.65,286.73,81,99,7.72,CL,1628077866
117,Xining,36.6167,101.7667,285.77,77,84,1.44,CN,1628115719
