,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,51.12,66,0,19.57,CL,1628079633
1,Itarema,-2.9248,-39.9167,79.81,78,75,12.55,BR,1628066751
2,Albany,42.6001,-73.9662,76.64,65,100,2.35,US,1628070667
3,Mataura,-46.1927,168.8643,44.47,70,100,5.39,NZ,1628107190
4,Geraldton,-28.7667,114.6,44.13,93,0,6.91,AU,1628118135
5,Cape Town,-33.9258,18.4232,56.26,93,0,5.75,ZA,1628141717
6,Barrow,71.2906,-156.7887,53.62,71,1,13.8,US,1628077383
7,San Cristobal,7.7669,-72.225,77.18,84,99,4.79,VE,1628073708
8,Chapais,49.7834,-74.8492,71.38,54,0,4.36,CA,1628069647
9,Qaanaaq,77.484,-69.3632,45.09,68,9,3.58,GL,0
10,Saint-Philippe,-21.3585,55.7679,65.75,80,96,15.57,RE,1628131594
11,Diffa,13.3154,12.6113,83.01,59,35,6.67,NE,1628139326
12,Mareeba,-17.0,145.4333,69.48,37,7,4.76,AU,1628109727
13,Olafsvik,64.8945,-23.7142,53.91,87,98,3.67,IS,1628052286
14,Nikolskoye,59.7035,30.7861,55.8,76,39,3.18,RU,1628128141
15,Tasiilaq,65.6145,-37.6368,48.36,75,94,0.34,GL,1628055186
16,Deputatsky,69.3,139.9,49.32,52,3,12.17,RU,1628095934
17,Rikitea,-23.1203,-134.9692,72.68,70,8,16.2,PF,1628091136
18,Yerbogachën,61.2767,108.0108,61.03,92,95,4.83,RU,1628108971
19,Bluff,-46.6,168.3333,44.8,69,100,5.88,NZ,1628107381
20,Lethem,3.3803,-59.7968,76.37,84,20,1.43,GY,1628071055
21,Tungor,53.3808,142.9564,55.54,84,100,14.18,RU,1628103026
22,Novobiryusinskiy,56.9578,97.7076,66.22,76,62,1.97,RU,1628112950
23,Buchanan,5.8808,-10.0467,76.8,84,88,9.01,LR,1628058927
24,Viamão,-30.0811,-51.0233,59.81,93,90,9.22,BR,1628071635
25,Umreth,22.7,73.1167,80.37,75,99,8.9,IN,1628124023
26,Marsaxlokk,35.8419,14.5431,84.81,70,0,14.97,MT,1628136757
27,Busselton,-33.65,115.3333,45.05,84,1,6.17,AU,1628118444
28,Dandong,40.1292,124.3947,79.41,83,96,4.85,CN,1628109836
29,Butaritari,3.0707,172.7902,82.6,66,68,9.17,KI,1628101657
30,Taoudenni,22.6783,-3.9836,103.41,9,5,11.99,ML,1628056110
31,Tiarei,-17.5333,-149.3333,82.42,75,37,13.0,PF,1628094119
32,Mogadishu,2.0371,45.3438,75.81,85,93,19.1,SO,1628132319
33,Nanortalik,60.1432,-45.2371,45.95,93,100,3.94,GL,1628059711
34,Kapaa,22.0752,-159.319,86.32,77,75,4.0,US,1628093455
35,Yellowknife,62.456,-114.3525,57.56,51,90,1.01,CA,1628075364
36,Tuktoyaktuk,69.4541,-133.0374,62.6,42,40,8.05,CA,1628074765
37,Wilmington,34.2257,-77.9447,73.96,94,90,8.05,US,1628072707
38,Faanui,-16.4833,-151.75,79.61,70,41,14.88,PF,1628094615
39,Veinticinco de Mayo,-35.4323,-60.1727,55.98,53,0,1.01,AR,1628074385
40,Yulara,-25.2406,130.9889,46.24,57,0,10.36,AU,1628113881
41,Bredasdorp,-34.5322,20.0403,56.52,88,10,3.44,ZA,1628141393
42,Lebu,-37.6167,-73.65,52.7,86,90,15.95,CL,1628077866
43,Ushuaia,-54.8,-68.3,51.46,54,40,10.36,AR,1628079375
44,Puerto Ayora,-0.7393,-90.3518,72.55,83,19,7.0,EC,1628078693
45,Aransas Pass,27.9095,-97.15,89.98,75,1,5.01,US,1628077986
46,San Fernando del Valle de Catamarca,-28.4696,-65.7852,67.77,44,6,1.99,AR,1628075021
47,Arraial do Cabo,-22.9661,-42.0278,62.56,88,20,2.3,BR,1628068826
48,Carnarvon,-24.8667,113.6333,46.47,39,0,11.5,AU,1628118012
49,San Quintín,30.4833,-115.95,73.45,71,5,14.88,MX,1628082240
50,Prince Rupert,54.3161,-130.3201,60.89,94,90,6.91,CA,1628081958
51,Jalu,29.0331,21.5482,89.13,25,0,15.17,LY,1628135810
52,Guerrero Negro,27.9769,-114.0611,78.53,62,9,15.86,MX,1628082040
53,Manyana,-23.4,21.7167,54.34,37,0,9.71,BW,1628139935
54,Krasnokumskoye,44.1781,43.5019,70.65,67,100,7.25,RU,1628128679
55,Chokwé,-24.5333,32.9833,58.91,70,0,4.63,MZ,1628137330
56,East London,-33.0153,27.9116,65.07,81,79,7.76,ZA,1628139346
57,Varaždin,46.3044,16.3378,72.41,77,100,5.14,HR,1628134860
58,Torbay,47.6666,-52.7314,66.49,67,40,13.8,CA,1628064737
59,Jamestown,42.097,-79.2353,78.39,50,1,5.75,US,1628072006
